User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1002903,Sanskriti,P00125942,F,26-35,28,0,Maharashtra,Western,Healthcare,Auto,1,23952.0,,
1000732,Kartik,P00110942,F,26-35,35,1,Andhra Pradesh,Southern,Govt,Auto,3,23934.0,,
1001990,Bindu,P00118542,F,26-35,35,1,Uttar Pradesh,Central,Automobile,Auto,3,23924.0,,
1001425,Sudevi,P00237842,M,0-17,16,0,Karnataka,Southern,Construction,Auto,2,23912.0,,
1000588,Joni,P00057942,M,26-35,28,1,Gujarat,Western,Food Processing,Auto,2,23877.0,,
1000589,Raj,P00057943,M,36-45,40,1,Rajasthan,Western,Food Processing,Auto,1,18500.0,,
1000590,Meera,P00057944,F,18-25,22,0,Kerala,Southern,Healthcare,Electronics,2,8999.0,,
1000591,Arun,P00057945,M,26-35,30,1,Tamil Nadu,Southern,IT,Electronics,1,45999.0,,
1000592,Priya,P00057946,F,36-45,38,0,Karnataka,Southern,Govt,Clothing,3,3599.0,,
1000593,Vikram,P00057947,M,18-25,19,0,Maharashtra,Western,Automobile,Electronics,2,24999.0,,
1000594,Anjali,P00057948,F,26-35,29,1,Delhi,Northern,Healthcare,Clothing,1,1999.0,,
1000595,Ravi,P00057949,M,36-45,42,1,Uttar Pradesh,Central,Construction,Home,4,12999.0,,
1000596,Sunita,P00057950,F,46-50,48,0,Punjab,Northern,Govt,Home,2,8999.0,,
1000597,Mohan,P00057951,M,26-35,32,1,Haryana,Northern,Automobile,Books,1,599.0,,
1000598,Neha,P00057952,F,18-25,21,0,Madhya Pradesh,Central,IT,Books,3,1497.0,,
1000599,Amit,P00057953,M,36-45,40,1,West Bengal,Eastern,Food Processing,Electronics,1,32999.0,,
1000600,Sarita,P00057954,F,26-35,28,0,Bihar,Eastern,Healthcare,Clothing,2,4598.0,,
1000601,Kiran,P00057955,M,46-50,47,1,Odisha,Eastern,Construction,Home,1,15999.0,,
1000602,Divya,P00057956,F,18-25,24,0,Telangana,Southern,IT,Books,2,998.0,,
1000603,Suresh,P00057957,M,36-45,39,1,Assam,Eastern,Govt,Auto,1,18999.0,,
1000604,Ananya,P00057958,F,26-35,31,0,Jharkhand,Eastern,Healthcare,Clothing,3,6897.0,,
1000605,Rahul,P00057959,M,18-25,23,1,Uttarakhand,Northern,Automobile,Electronics,1,41999.0,,
1000606,Pooja,P00057960,F,36-45,37,0,Himachal Pradesh,Northern,Food Processing,Home,2,11999.0,,
1000607,Nitin,P00057961,M,26-35,34,1,Chhattisgarh,Central,Construction,Books,1,799.0,,
1000608,Swati,P00057962,F,46-50,49,0,Goa,Western,IT,Clothing,4,9196.0,,
1000609,Sanjay,P00057963,M,36-45,41,1,Tripura,Eastern,Govt,Auto,1,21999.0,,
1000610,Madhuri,P00057964,F,26-35,29,0,Meghalaya,Eastern,Healthcare,Electronics,2,27998.0,,
